#EVID      lat         lon       depth[km]  erLat[m] erLon[m] erdep[m]   yy mm dd hh mi sec     Mlv T    RMS GAP MDist Nob
201301001  27.545232   88.558239    41.859    4567.2   2644.0   2569.9 2013 01 20 20 31 51.124  3.0 T  0.115 308 110.5   7
201301002  27.063577   89.162720    27.328    9260.9   3267.1  14470.7 2013 01 20 23 59 13.270  2.4 T  0.047 272  38.6   8
201301003  27.219214   88.660674    -3.844   57920.8  15445.9  29998.4 2013 01 21 03 11 40.270  3.2 T  0.110 303  90.9   5
201301004  29.924016   89.562629    95.922    4334.3   5150.6  16174.3 2013 01 22 04 32 39.757  4.5 T  0.256 278 152.8   9
201301005  27.689810   91.265016    26.059     733.7   1313.6    963.9 2013 01 23 09 02 40.913  3.2 T  0.175 181  13.1  18
201301006  29.616020   89.299796    95.922    5100.8   4751.0   6288.1 2013 01 24 13 58 23.281  3.7 T  0.403 271 176.7  12
201301007  27.023439   90.052848    27.992    2530.3   1893.0   2337.7 2013 01 26 08 25 33.101  1.9 T  0.051 142   6.6   6
201301008  27.317511   91.524500    12.406    1259.9    430.8   1534.8 2013 01 29 20 39 32.998  2.6 T  0.078 105   7.3  21
201301009  26.937430   89.470190    47.719   34027.7   2348.1  16496.0 2013 01 30 00 35 22.541  0.8 T  0.004 242   8.5   4
201301010  27.345362   91.322797     8.734    1039.6   1233.5   5214.8 2013 01 30 18 26 23.974  1.1 T  0.011 213  20.0  10
201301011  27.661960   89.823444    21.645     809.4    753.8   1175.3 2013 01 31 00 10 40.829  1.7 T  0.058 131   4.7  13
201301012  27.242969   89.468759    26.117    2003.6    699.8    881.8 2013 01 31 00 40 15.842  1.9 T  0.073 217   6.9  18
201301013  27.602572   88.504537    28.188   29842.2   8951.0  19469.1 2013 01 31 00 47 03.316  2.6 T  0.014 319 108.5   7
201301014  26.408674   92.809292    44.418    2378.7    928.5   1318.8 2013 01 31 13 11 02.524  3.7 T  0.187 269 132.5  26
201301015  27.407616   92.114946    -3.922    4906.5   2629.9  10417.4 2013 01 31 13 58 27.886  1.8 T  0.187 305  53.4   7
201301016  26.970195   89.271365    27.406    7129.3    865.0   9303.3 2013 01 31 16 59 25.148  1.1 T  0.097 280  25.2  13
201302001  27.646805   91.319505    17.797     817.5   1969.4   1733.1 2013 02 01 03 35 06.117  1.2 T  0.036 181  11.9   9
201302002  27.645986   91.320886    17.523     914.7   2311.0   2061.4 2013 02 01 03 42 37.786  1.5 T  0.040 180  11.8   9
201302003  27.230682   88.978313    30.453     678.1    869.7   2033.9 2013 02 01 03 53 58.414  3.0 T  0.088 151  55.3  24
201302004  26.852649   89.486801    33.129    1208.9    872.1    862.8 2013 02 01 12 59 10.657  2.5 T  0.103 283   8.1  25
201302005  26.848553   89.481329    33.129    1334.5    851.9    752.9 2013 02 01 14 14 25.140  2.5 T  0.120 286   8.7  28
201302006  27.051290   89.183561    28.773    2854.7   1004.7   2728.4 2013 02 01 18 08 14.292  2.0 T  0.078 286  35.5  15
201302007  27.249522   91.975818     8.227    1724.5    780.9   5464.1 2013 02 01 21 51 32.745  3.1 T  0.089 271  37.5  19
201302008  26.812920   91.971468    52.406   14890.0   3838.1  15074.5 2013 02 02 06 19 06.801  2.5 T  0.049 309  44.5   7
201302009  27.423590   91.185645    10.590     856.6    695.5   4440.4 2013 02 02 22 23 03.904  1.7 T  0.075 181  19.5  16
201302010  27.611582   89.925673     8.930     897.2   1300.9   3962.9 2013 02 03 01 09 07.228  1.4 T  0.089 149  13.3   9
201302011  27.424818   91.191882    10.727    1161.3    994.9   5528.4 2013 02 03 05 41 37.698  2.0 T  0.015 178  19.4   7
201302012  27.422361   91.193251     9.594    3938.5   7377.8   7664.4 2013 02 03 23 10 03.025  1.1 T  0.003 304  19.6   4
201302013  27.420723   91.184935    10.609    1642.4   4394.7   6313.8 2013 02 04 04 48 39.287  1.7 T  0.018 296  19.8   6
201302014  27.622231   89.935325    36.625   24152.9  95985.0  28317.8 2013 02 04 07 24 13.064  1.7 T  0.034 294  33.1   4
201302015  27.421542   91.186324    10.258    1160.1    923.5   5622.4 2013 02 04 19 08 40.549  1.0 T  0.171 181  19.7   8
201302016  26.415637   89.824740    27.992    2029.0   2583.4   5335.0 2013 02 04 20 28 26.788  2.0 T  0.098 308  55.6  11
201302017  27.689401   91.292072    22.484     937.9   1431.0   1528.5 2013 02 04 21 57 54.877  1.5 T  0.079 225  13.9  11
201302018  27.426457   91.194661    10.023    1297.3    990.4   5431.8 2013 02 04 23 46 00.404  1.2 T  0.026 176  19.2   7
201302019  27.420313   91.182856    10.785     593.2    638.0   3922.3 2013 02 05 01 13 45.119  2.8 T  0.074 112  19.8  18
201302020  27.430552   89.900315     6.547    2155.0   9593.6  19271.1 2013 02 05 07 19 22.680  1.5 T  0.011 149  22.3   5
201302021  27.420723   92.021010    -3.922    9389.0   2756.1   9542.9 2013 02 05 09 49 39.376  2.9 T  0.110 287  44.4   6
201302023  27.699230   88.239100    95.922   15639.2   5609.0   3992.5 2013 02 05 19 27 08.787  3.3 T  0.216 317 135.5  14
201302024  27.017705   89.234986    26.234    2846.8    795.7   2560.5 2013 02 05 21 23 07.044  1.6 T  0.081 285  30.1  16
201302025  27.433829   92.054416     0.141    8871.9   1884.3  12485.1 2013 02 06 21 35 12.096  1.6 T  0.101 287  47.8   7
201302026  27.310958   92.155023    12.094    9725.2   7940.1  15330.1 2013 02 06 23 02 21.265  1.6 T  0.005 342  56.0   4
201302027  27.424409   91.187034    10.707     878.2    682.3   4841.1 2013 02 07 16 09 36.917  1.2 T  0.091 180  19.4  12
201302029  27.429733   91.178069    14.398    2140.2   1388.8   7588.3 2013 02 07 18 59 29.770  0.9 T  0.022 185  18.8   5
201302030  27.420723   91.184935    10.297    1038.9    902.7   5325.3 2013 02 07 19 07 19.602  1.5 T  0.071 181  19.8  10
201302033  26.903845   89.267954    22.289    2205.3   1039.8   2080.9 2013 02 08 20 23 01.084  2.1 T  0.082 290  25.2  18
201302034  26.991903   89.147715    32.426    1255.8    853.3   1538.0 2013 02 09 18 07 47.721  3.5 T  0.061 184  37.7  26
201302035  26.391063   90.129394    33.695     968.1   2425.4   4553.7 2013 02 10 01 06 51.293  2.5 T  0.139 281  68.3  10
201302036  27.636157   91.323586    18.227    1294.6   4728.7   2834.8 2013 02 10 13 16 28.759  0.6 T  0.012 170  12.0   5
201302038  27.063987   89.160645    27.387    1818.3    763.8   1356.3 2013 02 10 19 47 30.881  2.3 T  0.083 272  37.7  23
201302040  25.659570   88.434587    -0.094   30150.0  12582.4   5113.5 2013 02 11 17 45 31.507  2.9 T  0.272 351 175.9   8
201302041  27.047195   89.146360    24.516    7650.3   1651.7  12177.1 2013 02 11 22 59 15.257  1.3 T  0.049 306  39.2   7
201302042  26.460690   92.359471    52.172    5087.2   3085.3   8110.5 2013 02 12 02 07 31.096  2.8 T  0.052 333  96.8  11
201302043  26.984940   91.656580    13.422    5153.8   1647.2   5627.0 2013 02 12 10 28 24.281  1.6 T  0.026 275  12.9   7
201302044  27.319149   91.991956    -3.922    3496.6   1932.7   8582.5 2013 02 13 08 44 07.875  2.1 T  0.165 308  40.7   7
201302045  27.417446   91.184915    10.453    1524.2   1044.9   5939.6 2013 02 13 12 39 37.790  1.8 T  0.107 181  20.1   8
201302046  27.420723   91.179398    10.609    1230.6    630.6   5234.8 2013 02 13 12 39 46.476  2.3 T  0.157 184  19.8   9
201302047  26.774011   91.240858    28.012    1248.6   1527.9   2278.2 2013 02 13 22 29 49.597  2.2 T  0.066 200  25.6  18
201302048  27.014838   89.140543    29.262    2104.3    785.8   1871.5 2013 02 14 23 11 27.920  2.3 T  0.081 291  38.9  21
201302049  27.308910   91.420016    11.996    1601.2    820.5   2598.5 2013 02 15 18 59 34.873  0.7 T  0.025 160   9.5  11
201302050  27.503456   91.693843     7.680    2514.8    896.6   4695.7 2013 02 16 12 08 02.602  1.2 T  0.056 272  15.9  10
201302051  26.224777   89.846398    33.422    2430.6   3886.8   6219.4 2013 02 16 16 14 03.019  2.6 T  0.081 320  75.8  10
201302052  27.510828   92.451717    11.938   10359.4   4661.9  22442.1 2013 02 16 16 21 29.739  2.7 T  0.083 327  87.8   7
201302053  27.385500   91.177798    -3.961    1630.3   2019.8   5204.7 2013 02 17 05 07 37.750  1.4 T  0.094 276  23.7   6
201302054  27.285564   91.262904    10.180     618.7    635.9   2927.2 2013 02 17 21 53 31.784  1.8 T  0.036 135  11.9  16
201302055  25.390073   89.126063    35.570    3602.6   2365.6   3894.6 2013 02 19 21 05 11.682  4.9 T  0.274 286 169.7  17
201302056  27.724214   91.327721    25.707     768.2   1589.1    993.3 2013 02 20 00 58 38.926  2.3 T  0.083 208  11.3  18
201302057  27.422361   91.193251     9.594    3345.5   4688.0   6921.6 2013 02 20 12 52 49.649  1.4 T  0.004 294  19.6   5
201302058  27.416627   91.186294     9.320    1750.9   2365.6   5426.7 2013 02 20 12 52 53.331  1.8 T  0.027 268  20.2   8
201302059  27.392462   91.470530    13.129    2267.5    864.0   3390.0 2013 02 20 14 55 56.989  1.4 T  0.059 146   9.4  11
201302060  27.392462   91.469146    13.129    1112.8    627.8   1807.6 2013 02 20 14 57 56.565  1.3 T  0.078 146   9.5  13
201302061  25.798824   90.891424    25.922    2698.1   5278.6  19824.2 2013 02 20 17 55 38.776  2.5 T  0.213 301 126.7   9
201302062  27.641071   90.119700     9.789    1532.9   1615.4   5020.9 2013 02 20 20 18 29.449  1.0 T  0.081 232  10.4   7
201302063  27.706193   90.320015    21.957     436.9    855.2   1200.8 2013 02 21 13 33 23.380  3.0 T  0.122 164  24.9  30
201302064  25.628443   91.435978    24.828   14205.5   3254.0  13635.7 2013 02 23 18 51 56.570  2.2 T  0.039 263  42.7   7
201302065  27.510009   91.704997     5.492    1554.7    748.2   3913.8 2013 02 24 02 52 03.115  2.3 T  0.078 254  17.3  13
201302066  27.393281   91.341836    12.074     709.3    513.8   2808.8 2013 02 25 14 17 15.839  1.5 T  0.063 112  21.0  16
201302067  27.667284   91.332145    19.008    1618.3   4301.3   3856.8 2013 02 25 20 25 01.946  1.2 T  0.016 196  10.1   6
201302068  27.336761   91.421631    12.465    1122.2    984.9   2401.8 2013 02 25 21 00 27.652  0.8 T  0.020 191  10.9   9
201302069  27.603391   90.250165    30.648    2294.5   3972.1   1861.1 2013 02 25 21 40 14.990  1.2 T  0.018 316  12.4   7
201302070  27.228225   89.728680    32.523    1676.4    956.4   2256.1 2013 02 26 11 19 35.633  1.7 T  0.054 102  18.1   9
201302071  27.440382   91.971440    -3.609    2915.9   1415.5   7826.0 2013 02 26 19 12 43.148  1.5 T  0.222 283  39.9   9
201302072  26.938658   89.192459    28.520    2297.8    926.3   1660.1 2013 02 27 04 08 42.412  2.5 T  0.073 297  32.6  17
201302073  25.537518   90.744860    24.555     769.9   1645.5   3175.7 2013 02 27 12 27 10.640  4.4 T  0.206 213 159.2  28
201302074  27.014429   89.174338    27.797    3177.3   1099.1   3425.9 2013 02 28 00 37 22.184  1.8 T  0.055 289  37.2  13
201302075  27.310548   91.520978    11.918     982.0    430.3   1087.6 2013 02 28 13 48 57.956  2.1 T  0.056 105   3.7  19
201302076  27.161055   92.449710    16.742    7047.8   1768.2   2075.1 2013 02 28 17 32 29.459  4.4 T  0.224 307  84.4  35
201302077  27.189725   92.302406    38.500   55993.0   6970.2  22629.6 2013 02 28 18 18 39.050  2.5 T  0.113 316  69.6   8
201302078  27.104534   92.400414    23.188   20217.8   9710.6  26428.9 2013 02 28 18 47 34.857  1.9 T  0.025 331  80.3   6
201302079  27.270820   91.337451    -0.992    1970.4   1448.1   4399.2 2013 02 28 20 00 02.001  0.7 T  0.095 284  17.1   7
201303001  27.279011   90.026939    -2.945    1584.9   1007.0   7674.7 2013 03 01 01 44 40.886  1.4 T  0.180 143  17.1   6
201303002  27.415398   91.394603    11.918     870.6    639.6   4003.8 2013 03 01 12 51 50.113  1.6 T  0.032  95  16.3  11
201303003  27.416217   91.394609    11.840     888.4    708.2   4462.0 2013 03 01 14 08 54.089  1.0 T  0.031  95  16.3  10
201303004  27.413760   91.394589    12.152     912.0    618.1   4362.1 2013 03 01 15 00 24.816  1.2 T  0.050  96  16.3  12
201303005  27.415398   91.393219    11.605    1161.0    500.2   4263.6 2013 03 01 15 13 10.269  1.5 T  0.057  96  16.4  15
201303006  27.416217   91.394609    11.762     870.9    687.3   4499.8 2013 03 01 16 35 45.356  1.0 T  0.023 110  16.3  12
201303007  27.414170   91.389748    10.609    1737.6   1240.1   6329.4 2013 03 01 16 40 31.359  0.5 T  0.007 208  16.8   8
201303008  27.415398   91.393219    11.918     859.8    586.9   4276.6 2013 03 01 16 41 07.298  1.2 T  0.056  96  16.4  15
201303009  27.415398   91.394603    11.410     806.9    489.4   3087.8 2013 03 01 18 53 15.974  1.5 T  0.042  95  16.3  16
201303010  27.414579   91.394596    11.371     881.5    705.0   5071.6 2013 03 01 19 14 57.565  1.1 T  0.019  95  16.3  11
201303011  27.414989   91.393907    11.586    1792.3    675.8   6180.2 2013 03 01 19 15 38.359  1.1 T  0.044 149  16.4  10
201303012  27.402702   91.392424    13.969   17195.0   6734.5   9423.0 2013 03 01 19 25 57.353  0.3 T  0.012 264  16.6   5
201303013  27.401063   91.356427    -3.922   10680.7   4093.5   7570.0 2013 03 01 19 26 26.220  0.9 T  0.055 272  20.2   9
201303014  27.415398   91.393219    11.020     843.7    591.1   4224.1 2013 03 01 19 29 13.451  0.9 T  0.061  96  16.4  15
201303015  27.402702   91.359208    -3.844   10851.6   4136.0   7383.6 2013 03 01 19 31 08.515  0.8 T  0.075 271  19.9   9
201303016  27.417037   91.394616    12.035     789.4    469.1   2527.8 2013 03 01 19 42 58.765  1.5 T  0.104  95  16.3  18
201303017  27.414989   91.396676    12.680    2752.9    800.0   5507.6 2013 03 01 19 46 22.813  0.8 T  0.027 235  16.1   9
201303018  25.250819   92.094646    58.383    5174.2   7628.0   3023.5 2013 03 02 01 30 46.164  5.7 T  0.480 316  42.7  26
201303019  27.418675   91.398782    12.895     743.9    586.4   3632.5 2013 03 02 02 13 31.162  1.7 T  0.061 109  15.9  13
