#lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name
92.29 32.03 225 36 -20 332 78 -124 1.740 24 010500F
70.29 36.30 83 33 65 293 60 106 9.690 24 011900A
95.72 30.79 95 70 11 1 80 160 6.500 23 012600C
88.75 38.00 347 76 167 80 77 14 1.530 24 013100A
90.88 34.05 257 79 6 166 84 169 5.620 23 021200A
95.65 32.85 90 68 -4 181 86 -158 8.160 23 041500B
72.43 37.82 81 75 178 171 88 15 2.970 24 050100B
70.53 36.04 118 18 -27 233 82 -106 2.970 25 051200D
71.54 36.52 243 46 151 354 69 48 2.740 23 053000B
97.15 26.70 290 38 41 166 66 120 3.740 25 060700C
97.41 26.43 126 33 67 333 60 104 5.770 23 060800J
77.43 35.24 179 77 -179 89 89 -13 1.400 24 061900G
94.67 24.45 133 37 155 244 75 56 7.740 23 070200A
92.55 32.74 6 38 -113 214 56 -74 1.320 24 071000A
70.82 36.24 310 26 153 64 79 67 3.370 25 071700F
70.90 36.62 31 32 137 159 69 66 1.060 24 072800B
76.83 41.90 128 43 95 301 47 85 3.640 23 080800A
99.48 35.50 343 80 -170 251 80 -10 1.760 25 091200A
95.12 33.94 84 77 1 353 89 167 4.050 23 091300B
99.61 35.32 354 59 -177 262 87 -31 4.400 23 092000D
97.13 24.18 144 77 166 237 77 14 1.640 24 100600B
94.63 23.58 343 14 98 155 77 88 2.410 24 101100C
93.04 21.94 216 83 -5 307 85 -173 1.710 24 111300D
89.71 36.23 298 38 14 197 82 127 13.020 23 112600A
70.24 23.63 298 39 136 66 64 60 3.430 27 012601A
70.61 23.61 286 43 111 79 51 72 5.220 24 012801A
70.48 23.74 281 24 158 32 81 67 12.840 23 012801B
70.07 23.72 254 42 78 90 49 101 1.450 24 021901A
70.62 36.41 60 49 57 285 51 122 1.700 25 022501A
93.57 46.03 121 23 124 265 71 76 5.510 23 030101A
93.43 23.99 140 40 -141 19 66 -57 7.000 23 030301H
86.76 34.47 170 64 -170 76 81 -27 8.640 24 030501D
94.91 25.35 8 34 28 254 75 121 9.140 23 041001B
98.81 24.77 57 63 -28 161 65 -150 3.210 24 041201C
70.19 30.13 2 38 9 264 84 127 5.220 23 051601B
70.95 36.41 232 44 141 352 64 54 8.570 23 052201B
70.08 30.30 158 61 -4 250 86 -151 5.990 23 063001B
73.14 32.61 65 36 49 292 64 116 4.770 23 071601D
72.19 37.58 196 24 -21 305 82 -113 5.670 23 072401D
95.85 33.27 350 53 -164 251 77 -38 2.280 24 072501B
94.99 24.43 285 40 48 155 61 119 4.410 23 081201B
72.03 39.40 118 25 -42 248 73 -109 1.950 24 090201G
75.46 33.00 323 32 105 125 59 81 2.630 23 092801A
92.91 35.80 94 61 -12 190 80 -150 5.900 27 111401B
93.51 35.94 282 40 112 74 54 72 2.680 24 111801D
93.52 35.83 100 44 90 280 46 90 1.240 24 111901B
71.50 36.43 254 45 133 22 59 56 1.400 25 112301A
81.75 29.61 257 4 63 104 87 92 2.220 24 112701E
81.49 28.91 280 28 73 119 64 99 1.590 24 112701F
91.11 36.07 187 34 -149 71 74 -60 7.840 23 113001C
93.93 35.58 254 36 -141 131 69 -61 5.190 23 120101C
93.13 36.07 89 30 -40 216 71 -113 8.470 23 120801B
70.76 35.71 216 27 72 56 64 99 1.480 25 010302D
75.91 33.32 225 20 -11 325 86 -110 8.540 23 012702D
70.42 36.57 282 22 85 108 68 92 12.700 26 030302C
70.40 37.48 273 83 173 4 83 7 2.420 23 032202A
73.38 38.41 125 64 -155 23 67 -28 2.100 24 041402A
81.25 30.13 159 49 -130 31 55 -53 2.990 24 060402B
94.28 34.06 90 87 3 0 87 177 3.030 24 062902B
70.10 30.41 171 66 -10 265 81 -156 4.780 24 071302D
99.95 30.69 92 41 -86 267 49 -93 0.960 24 080802C
70.56 35.78 348 41 150 102 71 53 6.070 23 090302B
71.96 39.68 97 61 -179 7 90 -29 1.690 24 090502C
93.49 32.95 172 81 -171 80 81 -9 5.310 23 092702D
70.16 36.63 290 43 105 90 49 76 6.400 23 092902F
70.71 36.16 342 52 -147 230 65 -42 6.630 23 100102A
93.16 21.16 310 43 -128 177 57 -60 5.500 23 101602A
92.87 35.72 186 76 -166 92 76 -14 5.090 23 101902C
96.14 35.18 11 78 176 101 86 12 1.320 24 102602A
72.10 39.95 89 57 -179 358 89 -33 3.800 23 110102A
74.64 35.56 216 42 -90 36 48 -90 1.180 24 110102G
74.70 35.10 45 30 -69 201 62 -102 10.390 23 110302F
74.66 35.52 204 30 -117 55 64 -75 3.540 25 112002C
97.23 39.85 98 34 97 269 56 85 2.310 24 121402C
74.90 38.95 325 36 160 71 79 56 3.510 24 122502C
77.11 39.72 341 71 -162 245 73 -20 8.291 23 010403C
93.67 32.55 17 35 -62 164 59 -108 5.004 23 021103C
85.41 44.04 73 32 64 283 62 105 1.084 24 021303G
77.24 39.37 239 33 62 92 61 107 3.745 25 022403A
77.04 39.35 289 33 126 69 64 69 6.959 23 022403E
77.62 39.52 110 77 166 203 77 14 1.173 24 022503A
77.32 39.29 245 33 73 85 58 101 4.209 24 031203A
77.47 39.74 330 57 178 61 89 33 4.376 23 031503F
89.82 26.92 40 70 -21 137 71 -159 1.727 24 032503D
70.44 35.77 177 52 33 65 64 138 6.553 24 032903A
77.46 39.02 273 34 89 93 56 90 0.920 24 033003G
70.50 35.82 143 62 14 47 78 151 7.208 23 040203B
96.45 37.53 294 29 88 116 61 91 4.125 25 041703A
71.34 36.17 255 28 81 86 63 95 4.724 23 042503A
77.39 38.86 308 53 -179 218 89 -37 5.673 24 050403C
72.24 40.97 271 37 106 71 55 78 5.871 23 050503A
89.57 48.45 317 51 134 80 56 49 6.364 23 050703A
93.23 32.53 40 31 -38 164 72 -115 6.159 23 052003B
72.78 42.81 62 46 34 307 67 131 2.220 24 052203F
92.29 32.16 349 17 -80 158 73 -93 4.619 23 052403C
92.36 32.59 352 28 -103 186 62 -83 4.472 23 052403D
80.38 35.87 88 23 45 315 74 107 4.082 23 052903G
77.69 39.66 90 36 87 274 54 92 7.126 23 060403F
89.59 34.67 60 81 -6 151 84 -171 5.796 24 070703A
92.31 22.90 338 32 82 168 59 95 3.532 24 072603J
92.34 22.83 2 16 88 184 74 91 1.690 24 072703E
70.43 23.69 221 24 68 65 68 100 3.408 23 080503B
95.91 29.26 65 77 -6 156 84 -167 2.312 24 081803B
75.32 38.71 107 47 -153 358 71 -46 4.324 24 090103F
77.05 40.20 290 13 58 143 79 97 1.306 24 092603K
88.05 49.75 294 41 129 68 59 61 4.135 23 100903E
88.16 49.64 170 73 -169 77 79 -17 4.840 23 102303A
80.50 42.93 281 14 122 69 78 83 1.073 25 120103A
75.39 42.65 267 42 90 88 48 90 2.368 23 011604A
83.42 32.60 351 37 -116 203 58 -72 2.625 23 021004C
73.22 34.75 111 49 57 336 51 122 1.612 24 021404B
73.12 34.78 339 40 119 123 56 68 1.120 24 021404C
78.58 36.60 291 32 -74 92 59 -100 1.699 23 021504E
71.57 37.47 339 25 20 230 82 113 4.957 23 022304D
96.61 37.66 141 87 -179 51 89 -3 4.501 23 022404D
96.52 37.61 100 41 93 276 49 87 2.400 23 030204F
92.13 33.26 195 46 -131 66 57 -56 4.135 23 030604C
91.33 31.60 326 80 -173 235 83 -10 2.690 24 030704H
70.60 36.38 277 23 106 80 68 83 3.590 24 031204D
96.56 37.60 127 42 116 274 53 69 5.103 23 031604D
73.15 38.79 47 67 17 310 74 156 1.038 24 032104B
89.35 34.00 187 44 -105 28 48 -76 1.111 25 032704G
89.19 33.87 44 36 -49 176 64 -115 3.910 23 032704H
89.37 34.07 51 62 -30 156 64 -149 7.052 23 032804F
89.28 33.91 46 50 -39 164 61 -132 5.339 23 032804G
70.84 36.52 290 28 139 58 72 68 6.316 25 040504J
89.25 33.83 174 49 -123 39 51 -58 4.807 23 040604B
89.33 33.88 36 49 -50 165 54 -126 0.750 24 042204E
71.10 37.50 240 67 23 141 69 155 2.376 23 043004B
96.65 37.60 145 83 175 236 85 7 1.330 24 050404B
96.62 37.61 140 87 -178 50 88 -3 0.768 24 050404C
70.98 36.28 313 78 -170 221 80 -12 6.133 23 050704B
96.58 37.55 272 33 69 116 59 103 2.329 24 051004A
71.18 36.47 37 42 34 280 68 127 5.840 23 051604P
89.36 34.05 349 50 -128 220 53 -54 2.219 23 052304B
89.42 34.10 0 41 -114 211 53 -70 2.481 23 052304C
89.42 34.04 152 65 -160 53 72 -26 1.136 24 052304E
89.29 33.87 54 56 -27 160 68 -143 2.246 23 052304G
97.21 27.06 339 45 107 136 48 74 2.958 23 052404C
94.64 43.30 168 42 142 288 66 55 1.679 23 060604B
92.54 35.75 93 63 -15 190 76 -152 1.052 24 062904C
89.41 34.09 55 65 -24 155 69 -154 0.896 24 070304A
83.78 30.56 359 45 -74 156 47 -106 2.359 25 071104B
70.48 35.89 126 54 19 25 74 143 1.514 24 071504D
83.63 30.35 9 47 -64 154 49 -115 3.680 23 072804H
70.60 36.52 277 20 74 114 71 96 1.209 25 081004A
92.28 32.50 52 49 -30 163 68 -135 2.340 24 082404B
95.70 29.78 126 79 -176 35 86 -11 3.299 23 092704C
70.64 36.49 269 19 75 105 72 95 1.020 24 100604B
77.51 40.38 245 14 72 83 77 94 2.123 23 100704D
94.35 24.34 139 46 147 252 67 48 2.287 23 100804E
96.50 46.03 312 39 103 115 52 79 2.699 23 101104G
70.89 36.73 277 22 101 85 69 86 3.321 23 101604E
80.97 30.88 112 73 -165 17 76 -17 3.305 24 102604A
80.16 45.14 303 51 146 56 64 44 6.262 23 102704B
74.44 34.91 247 22 -92 70 68 -89 1.429 23 103104A
74.37 35.20 39 74 -164 304 75 -16 3.167 23 103104C
