LATIT   LONGI   INT   DATE
34.50   69.20    12   06/07/1505
33.40   73.30    11   04/06/1669
35.00   77.00     9   22/06/1669
33.90   72.30     9   23/06/1669
28.70   77.20    10   15/07/1720
22.60   88.40    10   11/10/1737
22.00   92.00    11   02/04/1762
22.60   88.40     5   13/07/1762
24.00   88.00     8   04/06/1764
35.00   77.00     7         1780
30.60   78.60     6   22/05/1803
30.30   78.80     9   01/09/1803
27.50   77.70     9   01/09/1803
22.60   88.40     5   13/04/1808
25.50   80.30     5   04/06/1808
30.70   78.50     8         1809
22.60   88.40     4   01/04/1810
22.60   88.40     5   13/05/1810
22.60   88.40     6   01/02/1811
30.90   79.00     8   26/05/1816
30.90   79.00     7   27/05/1816
30.90   79.00     7   28/05/1816
22.60   88.40     4   11/07/1816
25.80   89.40     6   12/09/1816
26.50   85.50     5   03/08/1819
24.00   89.00     7   03/04/1822
22.60   88.40     6   16/08/1822
22.60   88.40     5   03/04/1823
22.60   88.40     5   26/11/1823
26.20   91.80     4   03/01/1825
24.80   90.40     4   05/01/1825
24.80   90.40     5   08/01/1825
23.50   91.20     6   08/01/1825
28.70   77.20     5   22/03/1825
28.00   85.00     7   29/10/1826
22.60   88.40     5      01/1827
22.60   88.40     5   19/01/1827
34.50   69.20     4   17/04/1827
34.50   69.20     6   19/04/1827
31.60   74.40     9      09/1827
35.00   77.00    10   06/06/1828
22.60   88.40     7   08/07/1828
22.60   88.40     5   18/09/1828
23.70   90.40     5   08/10/1828
34.50   69.20     6         1829
22.60   88.40     6   18/09/1829
28.70   77.02     5   17/07/1830
22.30   91.80     5   15/12/1830
22.30   91.80     4   16/12/1830
22.30   91.80     7   31/12/1830
33.50   72.00     8         1831
28.70   77.20     7   24/10/1831
29.40   79.60     5   25/12/1831
31.60   74.40     7   22/01/1832
32.00   76.00     8   21/02/1832
29.40   79.60     6   02/07/1832
29.40   79.60     4   18/08/1832
29.40   79.60     4   23/09/1832
29.40   79.60     6   30/05/1833
28.00   85.00    10   26/08/1833
27.70   85.30     5   27/08/1833
27.70   85.30     5   28/08/1833
27.70   85.30     5   30/08/1833
27.70   85.30     4   31/08/1833
27.70   85.30     4   01/09/1833
29.00   77.70     5   20/09/1833
27.00   85.00     9   04/10/1833
25.70   82.70     5   04/10/1833
27.00   84.00     8   18/10/1833
27.70   85.30     4   26/10/1833
27.70   85.30     4   08/11/1833
27.70   85.30     6   16/11/1833
27.70   85.30     6   26/11/1833
25.80   89.40     8   08/07/1834
25.80   89.40     8   21/07/1834
29.40   79.60     5   04/01/1835
29.40   79.60     7   14/01/1834
34.50   69.20     7         1836
22.90   88.40     5   24/01/1836
34.50   69.20     5   14/12/1837
27.80   95.60     6   14/01/1839
21.90   96.00    11   23/03/1839
25.30   86.50     6   11/05/1839
27.80   95.60     5   03/06/1839
28.00   95.00     5   14/01/1840
34.50   69.20     8   26/01/1840
28.00   95.00     5   03/02/1840
27.80   95.60     5   04/03/1840
26.20   91.80     7   09/02/1841
28.00   95.00     4   12/10/1841
28.70   77.20     4   02/01/1842
27.00   94.70     5   04/01/1842
26.00   83.00     6   16/01/1842
28.00   95.00     5   04/02/1842
34.30   70.50     9   19/02/1842
34.50   69.20     7   03/03/1842
30.70   77.80     7   05/03/1842
34.50   69.20     6   20/04/1842
25.00   87.00     7   21/05/1842
25.00   87.00     5   23/05/1842
34.50   69.20     6   04/06/1842
34.50   69.20     6   10/06/1842
34.50   69.20     5   29/06/1842
28.70   77.20     6   04/07/1842
30.60   74.30     6   21/07/1842
28.70   77.20     5   25/07/1842
30.40   78.10     4   07/09/1842
27.00   88.30     5   18/09/1842
28.70   77.20     6   26/09/1842
28.70   77.20     4   27/09/1842
22.30   91.80     5   23/10/1842
26.20   91.80     6   23/10/1842
30.60   74.30     6   25/10/1842
26.20   91.80     5   29/10/1842
28.70   77.20     4   06/11/1842
25.00   90.00     9   11/11/1842
28.00   95.00     7   06/04/1843
28.00   95.00     5   07/04/1843
30.50   78.10     7   11/04/1843
26.50   88.50     4   03/06/1843
27.00   94.70     6   15/06/1843
27.20   95.40     7   16/06/1843
27.00   94.70     7   17/06/1843
27.00   88.30     7   10/08/1843
26.00   93.00     6   02/09/1843
26.00   93.00     6   03/09/1843
26.20   91.80     5   14/11/1843
26.20   91.80     7   18/12/1843
22.70   88.40     5   24/07/1845
22.70   88.40     5   26/07/1845
22.70   88.40     7   06/08/1845
26.20   91.80     7   22/08/1845
26.20   91.80     4   22/08/1845
26.20   91.80     6   24/08/1845
24.90   91.90     5   28/10/1845
24.80   90.40     8   17/10/1846
26.00   93.00     8   10/12/1846
26.30   92.70     8         1847
33.00   74.00     6   30/03/1847
22.60   88.40     6   05/05/1847
22.60   88.40     5   20/02/1848
22.60   88.40     4   30/11/1848
22.60   88.40     4   22/01/1849
26.00   92.00     7   22/01/1849
26.30   91.00     6   23/01/1849
26.30   91.00     6   26/01/1849
27.00   88.30     8   27/02/1849
26.50   88.50     6   28/02/1849
22.60   88.40     5   07/05/1849
22.30   91.80     8   08/01/1851
32.00   74.00     7   17/01/1851
32.00   74.00     8   21/01/1851
31.60   74.40     7   04/02/1851
33.00   74.00     7   06/02/1851
22.60   88.40     7   09/02/1851
29.40   79.40     5   14/02/1851
31.30   72.50     6   17/02/1851
25.30   91.70     4   04/07/1851
25.30   91.70     6   15/10/1851
25.30   91.70     4   15/10/1851
33.90   73.40     6   13/12/1851
34.00   73.50     8   24/01/1852
22.60   88.40     4   09/02/1852
29.00   77.70     7   31/03/1852
27.00   88.30     9      05/1852
23.70   90.40     7   09/08/1852
21.90   96.00     4   18/09/1855
21.90   96.00     4   05/10/1855
31.60   76.50     7   07/04/1856
21.50   87.00     5   16/03/1858
31.10   77.20     8   11/08/1858
26.60   92.80     5   22/08/1858
31.60   74.40     6   23/08/1858
26.60   92.80     5   26/08/1858
31.60   74.40     6   29/08/1858
32.20   76.40     5   09/07/1860
22.60   88.40     7   16/02/1861
22.60   88.40     4   18/04/1861
25.40   83.00     6   31/07/1861
25.40   83.00     5   26/08/1861
27.00   88.30     6   18/06/1862
27.00   88.30     7   29/03/1863
27.00   88.30     6   08/07/1863
27.00   88.30     6   11/08/1863
27.00   88.30     4   21/08/1863
27.00   88.30     4   17/10/1863
23.70   90.40     6   05/01/1864
25.60   85.20     5   30/08/1864
26.80   80.90     5   30/08/1864
27.00   88.30     4   30/08/1864
30.50   78.00     7   11/04/1865
