#Network   Station   Latitude   Longitude   Elevation   Sitename   StartTime   EndTime
YL BIRA 26.483999 87.266998 12.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL BUNG 27.8771 85.8909 1191.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL DINX 28.6646 87.1157 4374.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL GAIG 26.837999 86.631798 166.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL HILE 27.048201 87.324203 2088.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL ILAM 26.9102 87.922699 1181.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL JANA 26.7106 85.924202 77.0 - 2001-11-12T00:00:00 2002-12-31T23:59:59
YL JIRI 27.634199 86.230301 1866.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL LAZE 29.140301 87.592201 4011.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL MAZA 28.671301 87.855301 4367.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL MNBU 28.7558 86.161003 4500.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL NAIL 28.6597 86.412598 4378.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL NAMC 27.8027 86.7146 3523.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL NLMU 28.1548 85.977699 3889.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL ONRN 29.302 87.244003 4350.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL PHAP 27.514999 86.584198 2488.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL PHID 27.150101 87.764503 1176.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL RBSH 28.195499 86.828003 5100.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL RC14 29.4972 86.437302 4756.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL RUMJ 27.303801 86.548203 1319.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL SAGA 29.329201 85.232101 4524.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL SAJA 28.9093 88.020897 4351.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL SIND 27.210699 85.908798 465.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL SSAN 29.4238 86.728996 4585.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL SUKT 27.7057 85.761101 745.0 - 2002-03-05T00:00:00 2002-12-31T23:59:59
YL THAK 27.5996 85.556602 1551.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL TUML 27.320801 87.195 360.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL XIXI 28.7409 85.690399 4660.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
YL YALA 28.404301 86.113297 4434.0 - 2001-09-07T00:00:00 2002-12-31T23:59:59
