#Network   Station   Latitude   Longitude   Elevation   Sitename   StartTime   EndTime
XF H0010 26.983299 84.893204 22.0 H0010 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0020 27.017599 84.904999 24.0 H0020 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0030 27.0408 84.907402 27.0 H0030 2002-10-06T00:00:00 2005-12-31T23:59:59
XF H0040 27.0665 84.937302 33.0 H0040 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0050 27.087099 84.9533 38.0 H0050 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0060 27.107901 84.967102 42.0 H0060 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0070 27.134399 84.969902 51.0 H0070 2002-10-06T00:00:00 2005-12-31T23:59:59
XF H0080 27.1661 84.984001 75.0 H0080 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0090 27.201799 84.979301 113.0 H0090 2002-10-05T00:00:00 2005-12-31T23:59:59
XF H0100 27.230499 84.987198 162.0 H0100 2002-10-06T00:00:00 2005-12-31T23:59:59
XF H0120 27.2829 84.988503 267.0 H0120 2002-09-28T00:00:00 2005-12-31T23:59:59
XF H0130 27.315201 85.008102 523.0 H0130 2002-09-28T00:00:00 2005-12-31T23:59:59
XF H0150 27.369801 85.013702 647.0 H0150 2002-09-27T00:00:00 2005-12-31T23:59:59
XF H0160 27.3953 85.022102 461.0 H0160 2002-09-27T00:00:00 2005-12-31T23:59:59
XF H0170 27.4196 85.025101 396.0 H0170 2002-09-19T00:00:00 2005-12-31T23:59:59
XF H0180 27.451401 85.032799 475.0 H0180 2002-09-29T00:00:00 2005-12-31T23:59:59
XF H0190 27.471701 85.042198 505.0 H0190 2002-09-28T00:00:00 2005-12-31T23:59:59
XF H0200 27.499001 85.044998 563.0 H0200 2002-09-19T00:00:00 2005-12-31T23:59:59
XF H0210 27.5287 85.046997 809.0 H0210 2002-09-28T00:00:00 2005-12-31T23:59:59
XF H0220 27.5583 85.069702 1883.0 H0220 2002-09-18T00:00:00 2005-12-31T23:59:59
XF H0230 27.58 85.073303 2316.0 H0230 2002-09-17T00:00:00 2005-12-31T23:59:59
XF H0240 27.6078 85.107002 2153.0 H0240 2002-09-17T00:00:00 2005-12-31T23:59:59
XF H0250 27.631201 85.100899 1737.0 H0250 2002-09-12T00:00:00 2005-12-31T23:59:59
