#Network   Station   Latitude   Longitude   Elevation   Sitename   StartTime   EndTime
XF H1100 29.993601 85.697403 5315.0 H1100 2004-06-21T00:00:00 2005-12-31T23:59:59
XF H1110 30.066401 85.552597 5435.0 H1110 2004-06-19T00:00:00 2005-12-31T23:59:59
XF H1120 30.1381 85.414597 5479.0 H1120 2004-06-18T00:00:00 2005-12-31T23:59:59
XF H1130 30.205799 85.3283 5078.0 H1130 2004-06-18T00:00:00 2005-12-31T23:59:59
XF H1140 30.280199 85.296799 5185.0 H1140 2004-06-26T00:00:00 2005-12-31T23:59:59
XF H1150 30.358 85.313103 5120.0 H1150 2004-06-24T00:00:00 2005-12-31T23:59:59
XF H1160 30.434 85.288597 5217.0 H1160 2004-06-24T00:00:00 2005-12-31T23:59:59
XF H1170 30.495501 85.197403 4846.0 H1170 2004-06-24T00:00:00 2005-12-31T23:59:59
XF H1180 30.581301 85.176003 4974.0 H1180 2004-06-23T00:00:00 2005-12-31T23:59:59
XF H1190 30.649401 85.137604 4831.0 H1190 2004-06-23T00:00:00 2005-12-31T23:59:59
XF H1200 30.7152 85.141098 4828.0 H1200 2004-06-22T00:00:00 2005-12-31T23:59:59
XF H1210 30.782101 85.109398 4874.0 H1210 2004-06-24T00:00:00 2005-12-31T23:59:59
XF H1220 30.8599 85.068802 4776.0 H1220 2004-06-22T00:00:00 2005-12-31T23:59:59
XF H1230 30.9321 85.098999 4778.0 H1230 2004-06-24T00:00:00 2005-12-31T23:59:59
XF H1240 31.0198 85.134102 4731.0 H1240 2004-06-05T00:00:00 2005-12-31T23:59:59
XF H1250 31.0842 84.997902 4850.0 H1250 2004-06-06T00:00:00 2005-12-31T23:59:59
XF H1260 31.1549 85.0121 4992.0 H1260 2004-06-06T00:00:00 2005-12-31T23:59:59
XF H1270 31.225201 85.072098 4726.0 H1270 2004-06-06T00:00:00 2005-12-31T23:59:59
XF H1280 31.3016 85.129898 4732.0 H1280 2004-06-07T00:00:00 2005-12-31T23:59:59
XF H1290 31.3783 85.102997 4822.0 H1290 2004-06-06T00:00:00 2005-12-31T23:59:59
XF H1300 31.4454 85.160103 5050.0 H1300 2004-06-10T00:00:00 2005-12-31T23:59:59
XF H1310 31.515301 85.1828 5218.0 H1310 2004-06-07T00:00:00 2005-12-31T23:59:59
XF H1320 31.5837 85.1894 5225.0 H1320 2004-06-10T00:00:00 2005-12-31T23:59:59
XF H1330 31.6558 85.170403 5132.0 H1330 2004-06-07T00:00:00 2005-12-31T23:59:59
XF H1340 31.731899 85.140404 5064.0 H1340 2004-06-10T00:00:00 2005-12-31T23:59:59
XF H1350 31.8029 85.032303 4973.0 H1350 2004-06-07T00:00:00 2005-12-31T23:59:59
XF H1360 31.862301 84.953598 4988.0 H1360 2004-06-24T00:00:00 2005-12-31T23:59:59
XF H1370 31.945299 84.892899 4736.0 H1370 2004-06-21T00:00:00 2005-12-31T23:59:59
XF H1380 32.003899 84.822701 4638.0 H1380 2004-06-20T00:00:00 2005-12-31T23:59:59
XF H1390 32.072399 84.905197 4586.0 H1390 2004-06-20T00:00:00 2005-12-31T23:59:59
XF H1400 32.118698 84.694397 4488.0 H1400 2004-06-19T00:00:00 2005-12-31T23:59:59
XF H1405 32.1805 84.5131 4636.0 H1405 2004-06-21T00:00:00 2005-12-31T23:59:59
XF H1410 32.2361 84.3739 4561.0 H1410 2004-06-19T00:00:00 2005-12-31T23:59:59
XF H1415 32.307899 84.218903 4616.0 H1415 2004-06-19T00:00:00 2005-12-31T23:59:59
XF H1420 31.9347 83.842499 4955.0 H1420 2004-06-20T00:00:00 2005-12-31T23:59:59
XF H1421 32.008801 83.8713 4792.0 H1421 2004-06-13T00:00:00 2005-12-31T23:59:59
XF H1422 32.063801 83.8993 4620.0 H1422 2004-06-13T00:00:00 2005-12-31T23:59:59
XF H1423 32.158699 83.924202 4854.0 H1423 2004-06-13T00:00:00 2005-12-31T23:59:59
XF H1425 32.281601 84.063698 4489.0 H1425 2004-08-10T00:00:00 2005-12-31T23:59:59
XF H1430 32.381599 84.131104 4485.0 H1430 2004-06-12T00:00:00 2005-12-31T23:59:59
XF H1440 32.454498 84.239601 4554.0 H1440 2004-06-12T00:00:00 2005-12-31T23:59:59
XF H1450 32.524101 84.271599 4652.0 H1450 2004-06-12T00:00:00 2005-12-31T23:59:59
XF H1460 32.598099 84.223503 4665.0 H1460 2004-06-12T00:00:00 2005-12-31T23:59:59
XF H1470 32.666698 84.215698 4687.0 H1470 2004-06-14T00:00:00 2005-12-31T23:59:59
XF H1480 32.7467 84.2164 4655.0 H1480 2004-06-14T00:00:00 2005-12-31T23:59:59
XF H1490 32.821602 84.2668 4818.0 H1490 2004-06-14T00:00:00 2005-12-31T23:59:59
